Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Finger Simulator	fingersimulator	iOS, Browser	http://www.playables.net/finger/	Playables	Zürich				2014-08-12					https://itunes.apple.com/us/app/finger-simulator/id904930236?ls=1&mt=8									https://vimeo.com/102545761		http://is1.mzstatic.com/image/thumb/Purple3/v4/bd/38/dd/bd38dd4f-ccd8-d30e-f0eb-cb0819eb1d8b/source/480x360bb.jpg		Enjoy a fully featured finger simulator in the palm of your hands.			released	6220
Train Fever	trainfever	PC, Mac, Linux	http://www.train-fever.com/	Urban Games		Good Shepherd Entertainment        			2014-09-04	English, German, Russian, French, Hungarian, Japanese, Simplified Chinese, Traditional Chinese, Dutch, Italian, Czech, Polish, Norwegian, Spanish, Korean				http://store.steampowered.com/app/304730/Train_Fever/, http://www.gog.com/game/train_fever	http://www.train-fever.com/about/press/								https://www.youtube.com/watch?v=YXBKnHMQ0oc		http://www.train-fever.com/wordpress/wp-content/gallery/screenshots/screen_00_23.jpg		It’s the year 1850, and there are great times ahead! Establish a transport company and be its manager. Build infrastructure such as railways and stations, purchase transportation vehicles and manage lines. Fulfill the people’s needs and watch cities evolve dynamically.			released	6250
Farming Simulator 15	farmingsimulator15	PC, Mac, PS3, PS4, Xbox360	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive, Astragon			2014-10-30	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-15						https://www.mobygames.com/images/promo/l/137291-farming-simulator-15-screenshot.jpg	https://www.mobygames.com/images/covers/l/305111-farming-simulator-15-playstation-3-front-cover.jpg	Farming Simulator 15 is the 2015 edition of the farming simulation series. It largely continues the gameplay from the previous games in a sandbox environment. Players start with a small farm and by managing it efficiently the scope can be expanded while profits bring in new and better gear such as powerful tractors, harvesters and high capacity trailers. As in the previous games almost every action, such as connecting attachments, sowing, fertilization, plowing, harvesting, taking produce to the market and feeding animals need to be done manually. Two new types of activities for this release are animal husbandry and forestry, but at a high starting cost. For forestry players can plant and cut down trees. The wood can be sold to a lumber mill and wood chippings to a heating plant. Many new types of vehicles and machines are introduced for this activity.			Released	6241
Anshar Wars	ansharwars	Gear VR	https://www.ozwe.com/anshar-wars-1/	OZWE Games					2014-12-01														https://www.youtube.com/watch?v=VpXOpPBm6Bc		https://www.ozwe.com/wp-content/uploads/screen_aw1_med_01.jpg		Anshar Wars is one of the first games available when the Gear VR is first released in December 2014 and the first multiplayer game ever on this platform.  With the Gear VR Innovator Edition, Samsung puts the device in the hands of OZWE — amongst others — to craft amazing immersive experiences. The Innovator Edition is launched with Anshar Wars and VRtillery, along with a collection of high-quality sample experiences that show off what Gear VR is capable of.			released	6110
Sky Mercenaries	skymercenaries	PC, Linux, Google Play	https://www.polarityflow.com/	Polarity Flow	Zurich				2014-12-16	English		Shoot-em-Up		https://store.steampowered.com/app/336090/Sky_Mercenaries/	https://www.polarityflow.com/press/		https://twitter.com/s1zemusic						https://www.youtube.com/watch?v=QwJ_yT-XXRY		https://i.ytimg.com/vi/bR8jdJ3YgI8/maxresdefault.jpg		An epic sky battle awaits you! Choose your pilot and fighter to join the ultimate 2D S.H.M.U.P action ! Fight over 50 enemy types on 8 worlds in over 32 story missions and unlimited random content. Be prepared for the overpowering enemy fleet and challenging bossfights. Upgrade your fighters, drones and pilots the way you like to play them. Get powerful and permanent visible upgrades, armor and different types of weapons. Level up your pilots and assign skill points in 3 different skill trees to unlock a variety of abilities like auto-shield, critical buffs and more. Join the Mercenaries now!	Adrian Zingg, Business, Game Design & Development / Ogi Schneider, Game Artist & UI Designer		Released	6252
Maison Kanraku: The Second Climax	maisonkanrakuthesecondclimax	Xbox Live Indie Games, PC, PSMobile	http://tchagata.com/games/maison-kanraku/	Tchagata Games	Lausanne				2015-04-02					http://marketplace.xbox.com/en-US/Product/Maison-Kanraku/66acd000-77fe-1000-9115-d80258550ed6								http://tchagata.com/wp-content/uploads/2015/06/Maison-Kanraku-Installer.zip			http://tchagata.com/wp-content/uploads/2015/02/screen1_991.png	http://tchagata.com/wp-content/uploads/2015/02/Cover-MK.jpg	Tokyo, 2015 A.D. The First Climax is released. We are the Alpha and the Omega. The world will never be the same… Maison  Kanraku is a NEC PC-Engine style panty-throwing simulator. Experience  the high resolution of thrown-away pixelated panties as they distract an  army of conservative landladies and janitors.	Lead Developper: Loic Duboux (Sunnyside Games)		released	6330
Feist	feist	Unknown	http://playfeist.net/	Florian Faller, Adrian Stutz		Finji			2015-07-23	English, French, German, Italian, Spanish, Portuguese, Russian, Simplified Chinese, Traditional Chinese, Polish			Unity Awards Best Overall Game, Unity Awards Visual Excellence, GDC Play Best in Play, SGDA Swiss Game Award, Fantastic Arcade World of Metrics Award, Alexandel Clavel Foundation Culture Award	https://finji.itch.io/feist/purchase, http://store.steampowered.com/app/327060, https://store.playstation.com/#!/en-us/games/feist/cid=UP0406-CUSA05448_00-0000000000000000, https://www.microsoft.com/store/p/feist/c4zfncjgfp86									https://vimeo.com/193917360		https://playfeist.net/content/home/4-screenshots/Feist_5_1920.jpg		A desperate, savage survival experience full of stunning visuals, dynamic creatures, and a haunting soundtrack. Follow strange beasts through lonely forests, hazardous mountains, dark caves, and glowing swamps. Watch out for dangerous creatures that react to your movements and decisions, and cleverly concealed traps that will test your ability to survive. Over six years in the making, FEIST is a gorgeous hand-made adventure unlike anything else, with a cinematic presentation reminiscent of The Dark Crystal or Hedgehog in the Fog, and a tense original soundtrack by Tomek Kolczynski.			released	6240
Aliments du Monde	alimentsdumonde	iOS, Android, Browser, PC, Mac	https://www.behance.net/gallery/23303403/Aliments-du-Monde	Koboldgames	Brugg		Alimentarium, Pädagogische Hochschule Schwyz		2015-08-26	English, French, German		Serious Game		https://www.alimentarium.org/en/games/dishes-world, https://itunes.apple.com/ch/app/aliments-du-monde/id1019469538, https://play.google.com/store/apps/details?id=ch.alimentarium.alimo			https://twitter.com/Koboldgames								https://mir-s3-cdn-cf.behance.net/project_modules/fs/707e3823303403.563220bab353d.png	https://mir-s3-cdn-cf.behance.net/project_modules/fs/499c7d23303403.563220c2ade4a.png	"Aliments du Monde" is a one-button game for preschoolers with which they are able to learn which dishes and foods are typical of certain cultures.  In each level, the kid gets confronted with different menus, which they then need to prepare and cook. They can choose from a variety of regional products, of which they have to pick the right ones as ingredients for the desired dish. Then, they have to prepare the dish correctly.  There are are three difficulty modes: One for learning which ingredients they need for the dishes, a normal mode, and a difficult mode with a time limit.  The game was developed with the PHSZ for the nutrition museum Alimentarium in Vevey, Switzerland.  It's part of teaching documents, with corresponding work papers and a learning video. The corresponding teaching materials were created by the PHSZ.			released	5332
Farming Simulator 16	farmingsimulator16	PSVita, Smartphone, Tablets	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive			2015-09-22	English, German		Simulation							https://www.mobygames.com/game/farming-simulator-16						https://www.mobygames.com/images/covers/l/382015-farming-simulator-16-ps-vita-front-cover.png	https://www.mobygames.com/images/promo/l/169279-farming-simulator-16-screenshot.png	Farming Simulator 16 invites you into the challenging world of a modern day farmer: animal husbandry, plant, harvest and trade in crops, including new potato and sugar beet. Own and operate your very own farm…wherever you go!			Released	6241
Cloud Chasers - Journey of Hope	cloudchasers	iOS, Android	http://cloudchasersgame.com/	Blindflug Studios	Zürich				2015-10-15	EN, FR, BP, SP, DE			GDC Best in Play 2015, European Indie Game Days Grand Prize, DEIS Innovation Prize, SGDA Audience Award, IndieCade 2015 @E3 Selection	https://itunes.apple.com/app/cloud-chasers-journey-hope/id1020583460, https://play.google.com/store/apps/details?id=com.blindflugstudios.rogallo, https://www.amazon.com.au/Cloud-Chasers-Journey-of-Hope/dp/B0168VH0HK									https://www.youtube.com/watch?v=0XaGBl_O5zo		http://cloudchasersgame.com/wp-content/themes/twentyfifteen/img/screen-1.jpg		A father and daughter on a desperate journey in hope for a future beyond the deserts.			released	6240
Grundwasser App	grundwasserapp			Koboldgames	Brugg		EAWAG		2015-10-21	English, German, French, Italian		Serious Game		https://itunes.apple.com/ch/app/grundwasser-app/id1036868330?mt=8    https://play.google.com/store/apps/details?id=ch.eawag.grundwasserapp	https://www.behance.net/gallery/31487861/Grundwasser-App		https://twitter.com/Koboldgames								https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/c9385631487861.56546541cec0b.png		Learning app about groundwater with a laboratory you can play around with. In three short chapters, you can teach yourself how groundwater is formed, how we humans use it and what rivers have to do with it. Afterwards, you can play around in the groundwater laboratory and experience the interactions between groundwater, rain, and rivers.			released	4132
Planet Diver	planetdiver	Win, Mac, Linux, iOS, Android	http://fabraz.com/#	Fabraz					2015-12-01	English, French, Spanish, German, Chinese, Japanese				http://store.steampowered.com/app/417980/Planet_Diver/	http://fabraz.com/presskit/sheet.php?p=planet_diver								https://www.youtube.com/watch?v=pLP0DeXVc9g		http://cdn.edgecast.steamstatic.com/steam/apps/417980/ss_36466ab6564ca80f5345121791af9ce7c02b2670.1920x1080.jpg?t=1475074074		Planet Diver is about an adventurous daredevil tackling her newest obsession: Interstellar wing suit diving. With her close robotic companion Buddy she'll travel across space to seek out the most dangerous planets and their respective chasms to dive in.			released	6230
Anshar Wars 2	ansharwars2	Gear VR, Oculus Rift	https://www.ozwe.com/anshar-wars-2/	OZWE Games, Sunnyside Games					2015-12-03				Best VR Game Indie Prize 2017	https://www.oculus.com/experiences/gear-vr/1055884201113004/, https://www.oculus.com/experiences/rift/968677749874735/	https://www.ozwe.com/wp-content/uploads/presskit/OZWE-presskit-AnsharWars2.zip								https://www.youtube.com/watch?v=m6hRYDzAqNI		https://www.ozwe.com/wp-content/uploads/screen_aw2_pc_00-1024x576.jpg		A Solid and Enjoyable Space Combat Experience  Anshar Wars 2 is a comprehensive package attuned to the demands of a modern gaming audience which represents the pinnacle of phone-powered VR technology. It combines 360-degree movement, multiplayer, voice chat and the Oculus-powered ability to record screenshots and gameplay while playing.  A must-see experience thanks to the already beloved gameplay mechanics, beautiful vivid, high-resolution graphics and a vastly improved gameplay experience.			released	6230
Steel Rain	steelrain	PC, Linux, Xbox One	https://www.polarityflow.com/steelrain/	Polarity Flow	Zurich				2015-12-03	English		Shoot-em-Up		https://store.steampowered.com/app/387240/Steel_Rain/	https://www.polarityflow.com/press/		https://twitter.com/s1zemusic						https://www.youtube.com/watch?v=KP2vDQqg0h8		https://www.polarityflow.com/steelrain/images/screen_b53-crop-u1353.jpg		Prepare for the ultimate shoot-'em-up / strategy ReMix with RPG elements! Steel Rain is a truly novel mix of strategy, RPG, and frantic action, with a modern, high velocity shmup core at its center. You get to control 2 wings you can tactically arrange in different formations and firemodes, as you fight your way through an impressive variety of overwhelmingly huge enemy fleets.	Adrian Zingg, Business, Game Design & Development / Ogi Schneider, Game Artist & UI Designer		Released	6252
